player_id,position_matches,matches_matches,wins_matches,losses_matches,wl_ratio_matches,ties_matches,kills_matches,deaths_matches,killstreak_matches,damage_dealt_matches,arrows_shot_matches,arrows_hit_matches,wools_matches,wools_touched_matches,flags_matches,flags_picked_matches,cores_matches,monuments_matches,position_pvp,matches_pvp,wins_pvp,losses_pvp,wl_ratio_pvp,ties_pvp,kills_pvp,deaths_pvp,killstreak_pvp,damage_dealt_pvp,arrows_shot_pvp,arrows_hit_pvp,wools_pvp,wools_touched_pvp,flags_pvp,flags_picked_pvp,cores_pvp,monuments_pvp,position_objectives,matches_objectives,wins_objectives,losses_objectives,wl_ratio_objectives,ties_objectives,kills_objectives,deaths_objectives,killstreak_objectives,damage_dealt_objectives,arrows_shot_objectives,arrows_hit_objectives,wools_objectives,wools_touched_objectives,flags_objectives,flags_picked_objectives,cores_objectives,monuments_objectives
player_6a4be3fc5335,#23,11253.0,6633.0,4606.0,1.44,14.0,,,,,,,,,,,,,#20,,,,,,70870.0,62833.0,52.0,90.0,297869.0,175014.0,,,,,,,#11,,,,,,,,,,,,1560.0,4578.0,788.0,1705.0,376.0,1189.0
player_782790777c80,#24,11224.0,4823.0,6383.0,0.76,18.0,,,,,,,,,,,,,#200,,,,,,23117.0,70210.0,23.0,28.5,164189.0,45256.0,,,,,,,#169,,,,,,,,,,,,263.0,1182.0,759.0,2126.0,108.0,540.0
player_b41743da629f,#25,11178.0,7452.0,3725.0,2.0,1.0,,,,,,,,,,,,,#22,,,,,,70165.0,59053.0,60.0,70.0,308232.0,118169.0,,,,,,,#38,,,,,,,,,,,,692.0,2526.0,856.0,2261.0,154.0,887.0
player_0ddd164a6f8e,#26,11124.0,5147.0,5971.0,0.86,6.0,,,,,,,,,,,,,#78,,,,,,43448.0,54293.0,121.0,39.5,121451.0,52915.0,,,,,,,#21,,,,,,,,,,,,851.0,3351.0,219.0,603.0,129.0,577.0
player_a8331565b162,#27,10904.0,6878.0,4025.0,1.71,1.0,,,,,,,,,,,,,#101,,,,,,36303.0,37798.0,87.0,45.0,185516.0,105655.0,,,,,,,#86,,,,,,,,,,,,447.0,2159.0,118.0,346.0,235.0,1102.0
player_cf6516ed6c02,#28,10765.0,4821.0,5940.0,0.81,4.0,,,,,,,,,,,,,#49,,,,,,51777.0,57205.0,30.0,44.0,87234.0,51570.0,,,,,,,#44,,,,,,,,,,,,663.0,3723.0,73.0,262.0,231.0,697.0
player_4d421be942b2,#29,10678.0,4290.0,6386.0,0.67,2.0,,,,,,,,,,,,,#251,,,,,,19429.0,45167.0,42.0,18.5,62702.0,26515.0,,,,,,,#207,,,,,,,,,,,,214.0,1447.0,125.0,368.0,35.0,240.0
player_d7f9d50dfc74,#30,10558.0,5124.0,5395.0,0.95,39.0,,,,,,,,,,,,,#160,,,,,,27912.0,49033.0,67.0,36.0,274466.0,79011.0,,,,,,,#5,,,,,,,,,,,,2120.0,4223.0,529.0,1439.0,125.0,613.0
player_e4f616945e4f,#31,10421.0,5008.0,5408.0,0.93,5.0,,,,,,,,,,,,,#71,,,,,,45204.0,64888.0,31.0,61.0,76997.0,35942.0,,,,,,,#34,,,,,,,,,,,,725.0,2589.0,484.0,1231.0,131.0,588.0
player_e0985bdd5f25,#32,10282.0,4310.0,5968.0,0.72,4.0,,,,,,,,,,,,,#35,,,,,,58828.0,61504.0,55.0,65.5,121029.0,69324.0,,,,,,,#133,,,,,,,,,,,,316.0,1546.0,146.0,599.0,78.0,309.0
player_eac3c77fab9e,#33,10207.0,5247.0,4959.0,1.06,1.0,,,,,,,,,,,,,#16,,,,,,77900.0,63176.0,38.0,90.5,127351.0,151188.0,,,,,,,#46,,,,,,,,,,,,639.0,2895.0,834.0,2035.0,84.0,283.0
player_0fe9f3b7fca2,#34,10132.0,5202.0,4928.0,1.06,2.0,,,,,,,,,,,,,#53,,,,,,49372.0,44723.0,22.0,48.5,165764.0,97179.0,,,,,,,#65,,,,,,,,,,,,546.0,1819.0,1484.0,2956.0,153.0,819.0
player_4bce9856574c,#35,10078.0,4362.0,5715.0,0.76,1.0,,,,,,,,,,,,,#111,,,,,,34507.0,50191.0,111.0,48.5,76452.0,47326.0,,,,,,,#102,,,,,,,,,,,,392.0,1815.0,452.0,1277.0,41.0,342.0
player_1448ab7ff9f9,#36,10068.0,5338.0,4722.0,1.13,8.0,,,,,,,,,,,,,#18,,,,,,76222.0,47931.0,96.0,74.0,323549.0,124123.0,,,,,,,#12,,,,,,,,,,,,1447.0,4533.0,417.0,801.0,157.0,456.0
player_b40a48b837b6,#37,10059.0,4254.0,5804.0,0.73,1.0,,,,,,,,,,,,,#84,,,,,,41602.0,68590.0,36.0,45.5,154244.0,42416.0,,,,,,,#124,,,,,,,,,,,,351.0,1794.0,195.0,457.0,22.0,178.0
player_e6d6d5a3af61,#38,9817.0,5145.0,4671.0,1.1,1.0,,,,,,,,,,,,,#68,,,,,,45677.0,41234.0,120.0,55.0,242696.0,91909.0,,,,,,,#198,,,,,,,,,,,,226.0,851.0,113.0,360.0,260.0,2563.0
player_00d4b1e5fa92,#39,9735.0,4682.0,5051.0,0.93,2.0,,,,,,,,,,,,,#46,,,,,,52930.0,53824.0,46.0,82.5,238586.0,79974.0,,,,,,,#41,,,,,,,,,,,,677.0,2855.0,118.0,515.0,134.0,760.0
player_b769253cfcb8,#40,9716.0,4094.0,5618.0,0.73,4.0,,,,,,,,,,,,,#410,,,,,,12610.0,40587.0,50.0,17.0,12071.0,12294.0,,,,,,,#54,,,,,,,,,,,,588.0,2456.0,240.0,550.0,284.0,661.0
player_5f3ce91238c0,#41,9712.0,4872.0,4837.0,1.01,3.0,,,,,,,,,,,,,#36,,,,,,58355.0,54636.0,106.0,86.5,392460.0,154911.0,,,,,,,#33,,,,,,,,,,,,732.0,1869.0,339.0,889.0,119.0,354.0
